,close,high,low,open,include,includeHigh,includeLow
2018-11-12 09:30:00+08:00,9.829999923706055,9.829999923706055,9.75,9.789999961853027,False,9.829999923706055,9.75
2018-11-12 09:35:00+08:00,9.8100004196167,9.859999656677246,9.800000190734863,9.829999923706055,False,9.859999656677246,9.800000190734863
2018-11-12 09:40:00+08:00,9.779999732971191,9.8100004196167,9.760000228881836,9.8100004196167,False,9.8100004196167,9.760000228881836
2018-11-12 09:45:00+08:00,9.819999694824219,9.819999694824219,9.770000457763672,9.800000190734863,False,9.819999694824219,9.770000457763672
2018-11-12 09:50:00+08:00,9.75,9.8100004196167,9.739999771118164,9.8100004196167,False,9.8100004196167,9.739999771118164
2018-11-12 09:55:00+08:00,9.800000190734863,9.800000190734863,9.739999771118164,9.75,True,9.800000190734863,9.739999771118164
2018-11-12 10:00:00+08:00,9.819999694824219,9.819999694824219,9.770000457763672,9.770000457763672,False,9.819999694824219,9.770000457763672
2018-11-12 10:05:00+08:00,9.850000381469727,9.850000381469727,9.829999923706055,9.84000015258789,False,9.850000381469727,9.829999923706055
2018-11-12 10:10:00+08:00,9.90999984741211,9.920000076293945,9.850000381469727,9.850000381469727,False,9.920000076293945,9.850000381469727
2018-11-12 10:15:00+08:00,9.850000381469727,9.890000343322754,9.84000015258789,9.890000343322754,False,9.890000343322754,9.84000015258789
2018-11-12 10:20:00+08:00,9.859999656677246,9.869999885559082,9.850000381469727,9.850000381469727,True,9.869999885559082,9.84000015258789
2018-11-12 10:25:00+08:00,9.850000381469727,9.880000114440918,9.850000381469727,9.850000381469727,False,9.880000114440918,9.850000381469727
2018-11-12 10:30:00+08:00,9.800000190734863,9.869999885559082,9.800000190734863,9.850000381469727,False,9.869999885559082,9.800000190734863
2018-11-12 10:35:00+08:00,9.779999732971191,9.8100004196167,9.779999732971191,9.800000190734863,False,9.8100004196167,9.779999732971191
2018-11-12 10:40:00+08:00,9.789999961853027,9.800000190734863,9.779999732971191,9.800000190734863,True,9.800000190734863,9.779999732971191
2018-11-12 10:45:00+08:00,9.789999961853027,9.819999694824219,9.789999961853027,9.800000190734863,False,9.819999694824219,9.789999961853027
